swish-python-master,client.py,ignore_except_block,11
personfinder-master,test_utils.py,assert_used,327
personfinder-master,test_utils.py,assert_used,328
personfinder-master,test_utils.py,assert_used,329
personfinder-master,test_utils.py,assert_used,330
personfinder-master,test_utils.py,assert_used,349
personfinder-master,test_utils.py,assert_used,350
personfinder-master,test_utils.py,assert_used,351
personfinder-master,test_utils.py,assert_used,352
personfinder-master,test_utils.py,assert_used,353
personfinder-master,test_utils.py,assert_used,354
personfinder-master,test_utils.py,assert_used,355
personfinder-master,test_utils.py,assert_used,356
personfinder-master,test_utils.py,assert_used,357
personfinder-master,test_utils.py,assert_used,358
personfinder-master,test_utils.py,assert_used,375
personfinder-master,test_utils.py,assert_used,376
personfinder-master,test_utils.py,assert_used,377
personfinder-master,test_utils.py,assert_used,378
personfinder-master,test_utils.py,assert_used,390
personfinder-master,test_utils.py,assert_used,391
personfinder-master,test_utils.py,assert_used,394
personfinder-master,test_utils.py,assert_used,397
personfinder-master,test_utils.py,assert_used,402
personfinder-master,test_utils.py,assert_used,405
personfinder-master,test_utils.py,assert_used,408
personfinder-master,test_create.py,assert_used,30
personfinder-master,test_jautils.py,assert_used,27
personfinder-master,test_jautils.py,assert_used,28
personfinder-master,test_jautils.py,assert_used,29
personfinder-master,test_jautils.py,assert_used,30
personfinder-master,test_jautils.py,assert_used,31
personfinder-master,test_jautils.py,assert_used,32
personfinder-master,test_jautils.py,assert_used,33
personfinder-master,test_jautils.py,assert_used,34
personfinder-master,test_jautils.py,assert_used,35
personfinder-master,test_jautils.py,assert_used,36
personfinder-master,test_jautils.py,assert_used,39
personfinder-master,test_jautils.py,assert_used,40
personfinder-master,test_jautils.py,assert_used,41
personfinder-master,test_jautils.py,assert_used,42
personfinder-master,test_jautils.py,assert_used,43
personfinder-master,test_jautils.py,assert_used,44
personfinder-master,test_jautils.py,assert_used,45
personfinder-master,test_jautils.py,assert_used,46
personfinder-master,test_jautils.py,assert_used,47
personfinder-master,test_jautils.py,assert_used,48
personfinder-master,test_jautils.py,assert_used,49
personfinder-master,test_jautils.py,assert_used,50
personfinder-master,test_jautils.py,assert_used,53
